Nota,TitluReview,Nume,Data,Review
10/10,Amazing,jackmcc-50755,10/6/2019,Really good plot and GREAT acting just extremely dark
10/10,Epic !!!,timmy_pul,10/6/2019,"Oscar for Joaquin !! Such an epic movie, Joaquin is truly Joker"
10/10,Masterpice,tnaciadi,10/6/2019,"Everything about this movie is perfect,if Joaquin Phoenix won t win the oscar I will stop watching movies."
10/10,MASTERPIECE,mmsaun,10/6/2019,ANYONE THAT TELLS YOU THAT THIS FILM IS ULTRA-VIOLENT OR PROMOTES GUN VIOLENCE IS LYING TO YOU.Amazing film. MASTERPIECE. A slow simmer to a rapid boiling over the pot great piece of story telling.
10/10,The hype is real.. Best acting material in at least 10 years,stphan-ray,10/5/2019,"Joaquin Phoenix is amazing and in Joker you get to see his real acting material, he's amazing he's great he doesn't hesitate to give it his best and more. Joker movie is the best 2019 movie so far and probably in most recent years, from directing to the writing to the acting to the score, we were mesmerized the whole time, i give it 100 over 10, an American classic that will be talked about for many years."
10/10,10-Nov,cadaudahmad,10/5/2019,One of the finest movies ever made.Best acting performance ever.Best story telling ever.
10/10,Simply... wonderful,mason_wills14,10/5/2019,"This movie has to be one of the best acting performances I have ever seen. Joaquin Phoenix deserves an Oscar, without a doubt. The amount of work that he put into this film paid off. Such a dark and creepy movie. Will definitely be going back to theaters to rewatch. Loved it!"
10/10,The Damn Trailers...,muerdfit,10/4/2019,"Holy hell this turned out to be a good movie. Really enjoyed it in the theaters. One of the few comic movies where you actually start feeling something for the main character. The empathy is born from the good writing and the phenomenal performance of Joaquin Phoenix.The only thing mildly bad stuff about the movie -which isnt an issue about the movie- are the trailers. Dc did it again with the ""lets expose almost every scene in the movie with trailers"" mindset. Dont get me wrong the first teaser with the ""Smile"" piece was really cool and got me hyped for the movie. But it felt like I kinda knew what was gonna happen already. I dont mean the whole scenes itself but where Arthur is gonna in the next scene and stuff.Even if the trailer kinda ruined my first watch I whole heartedly recommend this movie to everyone."
1/10,Just creepy and weird,rhodeosc,10/20/2019,"This is one of the most overrated movies ever. Once again, Joaquin Phoenix's creepy weirdness totally overshadows everything else in this film. He's so desperate to make this his own character, that he makes the whole film awkwardly uncomfortable and unenjoyable to watch. I'm not sure what character he was supposed to be, but it sure wasn't the joker. He was just a creepy guy in a clown costume with extensive psychological issues. Skip this garbage."
10/10,The best in the world,nonabobo,9/1/2019,The best in the world
2/10,Let's look at some math,rfordgambleproductions,10/12/2019,Let's look at some math
2/10,Not entertaining at all!,arieb-62933,10/11/2019,"This film was too long, too slow and too dark and unnecessarily violent. It was disturbing and uncomfortable to watch. I will give credit for the music selection.Somebody give Joaquin Phoenix a hug and a Xanax."
10/10,AMAZING!,stephaniexmx-80519,10/9/2019,The best film I've seen in a long time! Absolute amazing!!! Definitely recommend to go & see it! Would definitely go & see it again!
1/10,Hype for no reason,Hyena84,10/14/2019,"I made an imdb account after watching this movie. It was that terrible. Watching Joaquin Phoenix do interperative dance and try really hard to play an effeminate mentally ill person. The change into the Joker never felt earned. The movie itself was predictable and forced. A try hard edgelord masterpiece. Surprised he wasn't wearing a fedora. This movie just doesn't get the joke, because it IS the joke."
10/10,It was Awesome worth the hype,thenaanman,8/31/2019,"The acting,the story,the music, and the cinematography it was all awesome it was perfect looking forward to seeing this movie again with friends and family🤡🤡🤡"
2/10,Over rated piece of 💩💩,leonstokes,11/22/2019,"Good acting but the most boring film I've seen in a long time. I was expecting a slow burner but Jesus Christ, the good scenes in no way over shined the rest of the film and when he finally became the joker he played him like a camp 3 year old, complete pretentious American garbage. Ruined the character for me, hope they never do a sequel."
10/10,Incredible and captivating,pisciotti,10/8/2019,"One of the best movies I've seen in my whole life. This movie has a lot of levels. The psychopath construction is uncomfortable and attractive. It brings an invitation to ask ourselves if the concept of ""good and bad"" makes sense. Because all of us have the potential to become monsters when we're not able to control nor understand our own demons. But only some can exploit their true nature by being precisely a monster. And that keeps me thinking about the bravery and its shadows. It's a movie that hangs onto you and assaults some proper ideas during a burst of laughter. Joaquin Phoenix does an unbelievable job, he's one of my favourite actors and his work impressed me deeply. Incredible art direction, the colours and photography are the perfect apology for Mr Todd Phillips's masterpiece.Incredible and captivating."
10/10,Amazing. Captivating. Immersive. Raw.,akharvey,10/4/2019,"I am typically a fan of what Marvel has done, and initially saw no point to this movie when it was announced and couldn't see Phoenix doing the role justice, particularly after Heath Ledger's brilliant take on the Joker.How wrong was I? This movie starts slowly, and draws you into Arthur's world without you realising it until you can't look away from the screen for fear of missing a single second of it. It is raw, it is personal, it is disturbing, it is sad, and it is deeply resonant of some of the troubles we are experiencing today in the world. This is the Joker, arch-nemesis of Batman, yet you feel empathy for him, and can't completely disagree with his actions. He only hurts those who he perceives hurt him, even if his justice is fatal and doesn't befit the crime. ""Wrong me, and you are dead,"" is not justice, and each of his victims display their own weaknesses and frailties, and aren't inherently bad people.This is a brilliant movie. One of the few I went back to the cinema to watch again. It deserves Oscar recognition for Phoenix, Todd Phillips, cinematography, and the score.Congratulations all round!"
10/10,Cigarettes and Mayhem,alec_ong,10/3/2019,"A very dark movie with superb Acting and Cinematography. I felt all kinds of emotions all throughout the film. Laughter, Pity, Aggression, and finally validation for Arthur fleck towards the end. I can't wait for how they will develop a sequel to this story."
2/10,Dysfunctional,carinalc,10/20/2019,"Aside from Joaquin Phoenix's performance being brilliant, I didn't enjoy the movie at all. The movie was slow & stayed on the same platitude."
2/10,Hitler or the Joker,MasterChief2019,10/12/2019,Hitler or the Joker
4/10,Nice acting but bad story,mohkhair379,10/6/2019,The acting is good but they waste the movie time with repeating the same subject there is a missing part in movie to give attention to the storylineJust watched him laughing only and the repeated it many times for nothingActually i did not complete the last 10 minutes as it was boring and each time tried to leave i was saying just give it another 10 minutes maybe something will happen but really nothing
1/10,Self indulgent,dwbell,11/22/2019,No surprises here. This was just the same idea played over over and over. How about that Joker Ballet in the toilet?! Hilariously bad.
10/10,All time favourite,arshadkhanaj,11/13/2019,This movie is the one of the best movies I have ever seen
10/10,Those paid critics can eat sh.t when Joker wins multiple Oscars,michelle_unique,10/16/2019,I don't know what else I can say. Movie left me speechless.
10/10,Best Acting Performance of the decade !,siddhant-13114,10/15/2019,"I'm mesmerised , overwhelmed by the sheer beauty of Joaquin's Acting. The best cinematic experience I hve had in a long time. So glad I watched this in theatre."
10/10,Whoever doesn't give 10 stars is a JOKE,culebra-285,10/13/2019,"As I see the rating go from 9/10 to 8.9/10 I wonder who are the kind of people that would put this movie to such shame. Ultimately this movie needs a review of at THE LEAST 9/10 here. #YangGang #HumanityFirst, but 9/10 people.. Come on, amazing movie!!"
10/10,Sad,ronaldmwendwa,10/10/2019,This movie mad me unbearably sad but I loved every moment of it a beautiful beautiful joker movie
10/10,10-Oct,robin_rooijakkers,10/8/2019,Perfect movie with a great storyline.The actor was amazingly skilled and the camerawork was very well done in the scenes where it mattered the most. Best movie 2019.
10/10,The best film of the year and possibly the best of the 21st century,rafagg-16243,10/8/2019,"What to say about this film that does not reflect the title, is the best we have been able to enjoy lately, everything is wonderful, the exquisite photography, the right atmosphere, the amazing and unsurpassed script, all seasoned in addition with a sublime direction of Todd Phillips, which shows that we must follow him very closely in future projects.And I leave a point exclusively for Joaquin Phoenix, the guaranteed winner of the next Oscar, in my opinion it is one of the best male performances in the history of the seventh art, I do not think there are concrete words to do justice to his interpretation, therefore I will not say anything else.Everyone should watch this movie. 10/10"
10/10,Way better than I expected,zuzumalkawidrake,10/8/2019,"I loved the movie, great actor great actingIt was soooooo goodSad and depressiveBut cool"
10/10,why hate it?,younusfarooqi,10/7/2019,This movie defines the reality of pur society we r living inNow a days people just enjoy movies like avengers based on action and fight but dont like movies which based on their lives and the society they r living in
10/10,This movie was worth writing my first ever review about!!,austinmosher-11600,10/7/2019,"I was have been anticipating this one for awhile and watched every trailer and clip and couldn't wait then read the critics reviews and was a little disappointed but still excited to see it and thank God i did! I don't know how critics have jobs cuz this movie was absolutely INCREDIBLE! OUTSTANDING performance by Phoenix, intense storyline, and the soundtrack was the cherry on top! Best movie i have seen in years!!!"
10/10,Unreal Performance...,StephenIsADumb,10/7/2019,If Joaquin Phoenix doesn't get an Oscar for this it will only be because Hollywood is too sensitive. Probably best portrayal of the Joker yet...even though I still love Heath Ledger's version. This is just on another level! Would only warn against seeing this if you can't handle disturbing images/violence/dialogue. I have seen some of the worst cinema has to offer and I still got nervous sweats and felt incredibly uncomfortable the whole way through. Good luck!
10/10,A MUST SEE MOVIE,yashitha-48433,10/6/2019,"I went in for the second time for this movie because of how blown away I was the first time and how bone-chilling the experience was, the second time was no different it only made me appreciate the movie even more. An absolute must see, one of the greatest movies ever made in the 21st century with one of the greatest acting performances of all time by Joaquin Phoenix since heath ledger in the dark knight! Truly the best acting in the history of cinema! (10/10)"
10/10,Heath ledger would be proud,aaron_arasasingham,10/6/2019,"Joaquin Phoenix literally changed the game with acting as the joker. Left the cinema in amazement. I was virtually nearly off my seat for majority of the movie, and the movie definitely relates to what is going on in the world right now."
10/10,Oscar,ddon-58074,10/6/2019,If this movie is not recognised by the Oscars then the hope in great performances will be lost.
10/10,Joker is not a movie. Its a phenomenon and a rare phenomenon.,ranashahzaib16,10/5/2019,"Went to watch the movie as a Heath ledger fan, came out as Joaquin Phoenix biggest fan. Best perfomance I've seen for any character. The movie is a bit slow at times but thats how character building is done. The movie absorbs you in itself with each upcoming scene.Highly Recommended."
10/10,"Stunning, disturbing and one hell of a good film!",putkarazbivach,10/5/2019,"Stunning, disturbing and one hell of a good film!"
10/10,Legit,tonyleconceptartist,10/4/2019,The only thing that bugged me is Joker's make up lol
9/10,Just Give Pheonix The Oscar Now,slightlymad22,10/4/2019,"I just got out of watching JokerI have to say, it is really good... Possibly even great!! As a stand alone origin story, it's damn good. It moves at the pace of a 70's movie, so it may not be for everyone, but I found it mesmerizing to a level that it makes it an absolute winner. I think if they chopped about 15 minutes off the run time, it would have been better, whilst not missing a beat. There are elements of The King of Comedy and Taxi Driver as well as American Psycho.Now... Joaquin Phoenix might as well clear a space on his mantelpiece for an Oscar. I would be shocked if there is a better performance this year. The man is in every single scene. He carries this and at times, you forget that he is acting. His laugh is so real and twisted... The way he lost weight and transformed his body... The pain his character suffers and all the discoveries he makes that shape his life are just amazing and gracefully danced into a spectacular performance.There were a few predictable moments, but nothing to spoil the enjoyment!!Overall, this is a film to see, just to see one of the greatest actors of our time at the very top of his game.My screening was packed!! Only a spare seat here and there (annoyingly an ex and her new fella were in attendance🙈) second only to Avengers: End Game was was a complete sell out."
2/10,Highly Overrated,bossfan-44258,10/20/2019,Boring film. Kept waiting for it to get going. Joaquin Phoenix (who is normally one of my favorite actors) was irritating and monotonous. I honestly could not wait for this film to end.
9/10,Deeply Unsettling,evanston_dad,10/11/2019,"It's been a long time since I've been as unsettled by a movie as I was by ""Joker."" The last one I can think of that comes close was ""First Reformed"" from last year, another film that taps into some very dark and disturbing feelings about the state of our modern world. But that movie at least offered the possibility of hope if you were willing to interpret it a certain way, whereas ""Joker"" is about as damn near nihilistic as you can get.I didn't really even want to see this movie, because I'm sick to death of the whole superhero craze and our country's obsession with it. The Joker is one of the most overexposed of all villains, and I didn't give a rat's ass about his origin story. But the thing is, this is barely a movie about the Batman Joker. It's pretty clear that director Todd Phillips and actor Joaquin Phoenix can barely muster up the energy to tie this story into any greater mythology, and the few meager attempts to do so are the only times during the movie when my brain hit snooze and my attention drifted. The rest of the film is a deeply disturbing character study of a lone man who's so tired of trying to play by the rules of a system that has no place for him that he decides to make his own. I won't call Phoenix a revelation, because we all knew he could act, but holy cow does he do something special in this movie. This is Daniel Day-Lewis in ""There Will Be Blood"" territory we're talking about here, where the word ""acting"" seems inadequate to describe what's happening on screen.There's a lot of controversy swirling around ""Joker."" Is it irresponsible to make a movie that basically gives lonely, angry white men a justification to carry out violent acts? Is the film just an empty, soulless, and cynical attempt to cash in on people's love of Batman and the series' villains? Is the film just ripping off of other, better movies, like ""Taxi Driver"" and ""King of Comedy?"" I think people will see what they want to see in ""Joker."" Some will see a hero figure in Arthur Fleck, and will either love or hate the movie because of it. Some will think the film is deep and profound while others will think it has nothing to say. I personally don't know that the film has anything to say, but the history of movies is full of great films that haven't necessarily ""said"" anything. ""Joker"" is a reaction to our very troubled times, and I was able to empathize with the character of Arthur Fleck to a certain point without condoning all of his actions. He's a mentally ill man who wants to get help but doesn't know how, or who's the victim of a system that doesn't care about mentally ill people. Meanwhile, the system is run by a bunch of fat cats who only care about making themselves and their cronies richer, while life for the average American gets harder and harder. Toss in our country's obsession with violence in general and guns in particular, and people like Arthur Fleck will be the inevitable result. I didn't interpret the movie as a rallying cry for incels, and I don't think it glamorized violence at all. Leave it to the ""Mission: Impossible"" movies (just as one example) to do that, yet no one ever holds movies like that to task. But I do think that more people than not may find someone to relate to in Arthur Fleck, and maybe that's what's so unsettling. Like him, and like Howard Beale, another famous movie character who's fed up with the system, I'm mad as hell, and I don't want to take it anymore. Of course I will, because I'm a rational adult who understands that progressive change moves forward in fits and starts. But wouldn't it feel just a little bit good to say screw it all and burn down the whole mess?It will be interesting to see how my reactions to ""Joker"" change over time and after we've passed this specific cultural moment. Who knows, maybe I'll think it's silly and juvenile twenty years from now when I think back on the Best Actor Oscar Joaquin Phoenix is almost certain to win. But right now, there's not a movie I've seen recently that feels more relevant or urgent than this one, and the balls this film has makes everything else currently playing look like a made-for-T.V. movie by comparison.Grade: A"
10/10,Truly outstanding!,korn_andreas,10/4/2019,A more human and logical approach of the origins of joker! Definitely will touch your souls and remember every scene for a long time! A must see
10/10,OMG,mohdkhafaf,10/4/2019,"Literally one of the best movies I've ever seen. The acting the scenario the music, literally everything was unbelievably amazing"
10/10,Emotional,kaiquetkt,9/1/2019,"A masterpiece, one of the best movies of tge decade and century"
2/10,Save your money and time.,rahulthomas-07708,10/14/2019,Phoenix tries to put a great effort. This movie is truly devoid of any plot or interaction. Not much happens and the pace is terrible. The overall theme of galvanizing those who society has overlooked was much better done in Fight Club.
10/10,A work of art,ibraahm,10/9/2019,One of the best performances I've ever seen Joaqin phoenix truly deserves an oscar for this.... besides the great acting and magnificent castEvery thing else is very well done ( the directing the camera movement .... )They've done there best to transfer the tragedy of the joker and make us sympathise him .
10/10,"Ignore the critics, this is the movie of the decade!",ayoung33,10/9/2019,"I can see many scenes of this movie becoming iconic.The scene on the stairs and the fabulous but creepy dance Joker makes as a way to release anxiety. I can see it become famous just like the Rocky Balboa jump or the ""I am the King of the World"" standing with the open arms from Titanic.I haven't seen a movie this good in ages; It is funny, it is creepy, its has suspense, it has violence, action. It is intense. It shows mental illness in a way very few movies have done it in the past.It has smart jokes and if you ever felt depressed or lonely in your life (which most people have), you will understand it much better.The movie has 2 hours but it feels like 20 minutes providing such intensity and hanging on the edge of the seat story lineJoaquin deserves an Oscar, so does the movie not only because its great but to encourage director and movies companies to invest in more movies like this.Don't listen to the ""critics"" about this movie, the people are loving it and the voice of the people is the voice of God. Critics they go in the opposite direction of the flow because they see themselves as being ""different"" and they want to be different by saying something else than what everybody says in a bid to make them look like they ""know"" more than everyone else. If everybody loves a movie, they will hate it. And if everybody hates a movie, they will love it. Its always the same thing.Everyone can be a critic nowadays, thanks to the internet. So don't listen to them anymore, its just an outdated way of reviewing movies and not one bit reliable anymore.Go watch Joker and jump to your own conclusions, I bet you won't regret watching it."
1/10,"Unwatchable, uncomfortable, predictable trainwreck of a film.",skapunk85,10/13/2019,"I literally created an imdb account for the first time in order to attempt to warn people off of this terrible film. I have nothing good to say about it at all. It was a poorly crated story awkwardly told. The only saving grace is that Joaquin Phoenix acted an awful character in an awful story. I couldn't wait for the movie to end. I found it to be incredibly obvious and predictable for every ""twist"" in the film. The end credits were the best part when I finally was free. I was on a date or I would have just walked out early on."
10/10,greater than the teaser..!!,vj-45738,10/4/2019,"You've kept LEDGER alive ..!!he must be looking down ,and smiling ..!!this is the greatest tribute to master of acting Heath leadger..!!TODD PHILIPS take a bow..!!"
10/10,Applauding audience,rslakhorst,10/24/2019,"The moment the end credits where starting I had tears in my eyes and felt the urge to applaud, which is not happening in a cinema in Belgium ever! I hesitated but what a surprise: the whole audience started applauding and I could join anonymously...I am a movie lover and 61. I must say that this is the most impressive movie I have ever seen. Pure melodrama. A true masterpiece."
10/10,It is 'horrifyingly beautiful'....,thisiswasi,10/24/2019,I can't explain actually that how perfect this film is.
10/10,People get this movie all wrong,hadasganim,10/19/2019,"You're not supposed to relate to the Joker!You're meant to realise that some people are in pain. That people that act strangely should not be mocked, their life might have been horrific.Be kinder, be more tolerant. Don't help create a real life Joker."
10/10,send in the clowns,Shymaa0000,10/13/2019,send in the clowns
10/10,Y'all should rate this a 10,Bader_Muhammad,10/12/2019,Rate this a 10 because people have been giving it 8's and 9's without stating what was wrong with it because there isn't anything wrong with it and it deserves to be above 9 stars.
10/10,Believe the hype!,tsakrilisteo,10/11/2019,"Do not let the matacritic score fool you ! It is comprised of people who are quick to label the film edgy jusy because it touches on social matters, people who in my opinion should not be able to publish a movie rating as professionals. Everything that has to do with The Joker is done in a perfect way. Not only is phoenix's performance astonishing but the cinematography and climate of the film are perfect. It is truly a drama that makes an excellent background story for the character and has you on your heels everytime Joaquin is on the screen. Plus the violence felt very impactful and carried a message instead of simply being a way to make the film more intense."
10/10,Standing Ovations in Germany,info-670-345457,10/11/2019,"This is not a really good Movie.This Movie is whatever people can say, when they so not find words after seeing it.2hrs with a Villain ......I wont Spoil this great experience. I would be the Villain If I would do.Thank you Todd Phillips."
10/10,Believe the hype,artisse4,10/11/2019,I almost didn't go to see this as I've always had a problem viewing movies that have so hyped. But to be honest this is one movie worth seeing. I have been a total fan of Heath Ledgers Joker since it came out but to be fair this is worthy of being right up there with it. Phoenix's Joker is mesmerising and I found it hard to look away no matter how difficult the situation. I felt a lot of things during this performance and didn't need the whole box and dice of CGI trickery to get me there! Just stunning performances by all concerned. I would highly recommend this movie to anyone
10/10,Absolutely amazing,robhemp-65207,10/10/2019,Joaquin Phoenix's performance in joker is amazing everything about this movie is amazing. Amazing script great acting 10/10 you need to see this movie
7/10,Darkest and grittiest film of the year,Heisenberg999,10/10/2019,"From the director of ""The Hangover"" trilogy comes a dark and gritty version of Joker's origin story. His version of the Joker seems to be heavily inspired by Martin Scorsese's ""The King of Comedy"" with a touch of ""Taxi Driver"". On top of that, there are some attempts of commentary about society and how crooked it is. When you mix all those things up, you get a film that's going to divide everyone's opinions.Let's begin with the good stuff first. Easily, the best part of the film was a performance by Joaquin Phoenix. He carried this film completely and he gave one of the better performances of his career (nothing is going to beat his performance in ""The Master""). He proved once again why he's one of the best actors working today. If someone else was in his place, there's no way this film would've worked. His mannerisms, facial expressions (especially how he showed so many different emotions through laughs and eye expressions at the same time), his physicality and his vulnerability were incredible. If this film received a bit better reviews he would definitely be the main contender for that Oscar. Furthermore, the next aspect with which I was blown away was the score. I would even say that the score was a more effective way of showing emotions than the script. Because of the score at every moment, you knew how you were supposed to feel regarding what's happening on the screen, and that was achieved in a way that wasn't forceful. If you listen carefully to the score, you can even distinguish what scenes happened in reality and which were just in his imagination. Those two aspects of the film were outstanding and they carried the film noticeably. The color palette really nicely supported the script. Through the colors in the film, you could've seen in what mood the main character was and how he felt about what was happening around him. Colors helped to immerse the audience into that time period (I would say the film happened in 1981 because the movie theatre was showing the film ""Blow Out"" which came out in that year), but that wouldn't work without production design which was on the point.The cinematography was decent. Although the director's vision wasn't groundbreaking I generally enjoyed most of the camera choices.Let's get into some aspects that weren't so good. The script. It's one of the weakest parts of the film. You get a feeling the film wanted to say a lot, but unfortunately, it ended up saying almost nothing. There were a lot of attempts to give some social commentary, but for me personally, that fell flat because there wasn't any explanation of why is everything how it is. Joker as a character for the huge part of the film was complaining about how society is bad and how everyone is mean, but there wasn't any reason given why is the world like that, beyond poverty and poor people suck and rich people are corrupted and evil. Regarding that specific aspect, I felt like the director wanted to say a lot, but it just ended up being shallow and on the nose. The film was beating you over the head of how everything is bad. I would've appreciated concluding by myself that the world is crooked, but instead, I was just told what the situation was, without any room for my own interpretations. And that explained situation wasn't backed up with any other pieces of information. This time, tell don't show approach didn't work out. Furthermore, speaking of the script, all characters except Joker were unbelievable and underwritten. Zazie Beetz was completely unutilized and the relationship between her character and the Joker was underdeveloped. The film was supposed to make you believe in their relationship, but it didn't and because of it the film suffered at the later stages of its runtime. I understood what did film tried to achieve with their relationship, but that wasn't realized very well. That sentence could've been used for many aspects of this film. Robert De Niro as an older version of Rupert Pupkin had a ton of fun in this film, one of the better De Niro's performances since ""Casino"". They could've done more with his character, but at least it seemed like he had fun with this project. So, Joker is basically the only character that was decently written, but the thing is, the director didn't make a clear choice if we were supposed to feel for him or we were supposed to hate him because of his actions. Don't get me wrong, he isn't a good person, but the film way too many times tried to make the audience sympathize with him. I don't know if that was intentional or not, but at the times it felt way too forceful.In the end, looking at the whole picture, this is a good film but isn't anything spectacular. At the same time, I would say the film was overblown with praises of how good it was, and yet at the same time, it was unfairly criticized because of some aspects in the film (e.g. the usage of violence)."
4/10,Disappointed,johannamt01,10/9/2019,"I must say I'm disappointed. I love the Batman universe and especially the story behind Joker. Considering it's been a lot of talk around this movie, I expected more. The first half of the movie was pretty long drawn, towards the end it was great but not so much before that in my opinion. They could have done so much more with the time they had.Also, something that I struggle with is that every move Joker made was very predictable basic psychology (my opinion). Joker isn't supposed to be predictable, that is a part that makes him so interesting. Besides from all that the actor did an amazing job potraying Joker!"
10/10,Oscars awaits !,bk-dela,10/9/2019,Heath ledger would be so proud!It was amazing! Blew my mind ! I will watch it again and again !After a long time finally a good movie ! Enjoyed every second with every cell of my body !
10/10,"Outstanding Performance, Unmatchable Storyline, Impresive Thriller.",drpablocalamari,10/9/2019,"A long time i did not enjoy and get marveled by a film.If the decition depend on me, I said, Oscar to Best Film, And Oscar to Best Leading Role to Joaquin Phoenix, there is no equal, One of the most difficult role to perform in movies history and its overwhelm by Joaquin. You must see this film an prepear to see masterful performance in every detail."
10/10,Movie that has all the chances to become classics,Vitalik_Denys,10/8/2019,"Every year I deal with one issue - less new movies that deserve to be called art. But Joker is a rare example of what you can call art in every way. The creators of this movie made 2019 successful by making Joker, making the viewer feel wide range of emotions that push us beyond borders of standard perception. Thank you for this piece of art, a gift for all of us who create new perceptions and new visions."
10/10,Ultimate tale of morality,Jaynee_Cee,10/8/2019,"It's been reported that some people found the level of violence so graphic they have walked out of the showing..I can understand why. It's inexcusable that they did as they missed the ultimate tale in morality and their lives will be poorer for that fact.If you expect to see a bells and whistle CGI extravagance, you'll be disappointed. If, like me, you want a psychonautical joyride into the creation of the character of Joker.. open yourself to the lesson you're about to receive.Joaquin's portrayal is by far the superior version and most credible I have watched to date and his is a performance, I feel, cannot be surpassed, and should not, as here is the ultimate lesson of the nature of humanity - a poignant tale of human kindness and the consequences when that chain fails.. there are always repercussions for that imbalance and in the Joker, we see the deepest, darkest, most tragic and twisted sequence of consequences that should be a wake up call for us all, particularly now with the social injustices that are now common place. A Joker is reflected in each dispossessed person and we are many.A genuine masterclass in acting by Phoenix. The collaboration between Todd Phillips and Scott Silver is sheer brilliance."
9/10,"Beautiful, Mesmerizing and Haunting",watching_movies_since_birth,10/7/2019,"I miss Heath Ledger and can't get enough of his portrayal of Joker. He was intimidating, scary, unpredictable and all other things. In 2016, we got Suicide Squad and Jared Leto as Joker both of which disappointed me very much. After that, I thought that I don't want to see another Joker interpretation on the big screen. I was skeptical when I heard that a standalone Joker movie was in works. Then I heard about the casting of Joaquin Phoenix as Joker and I developed an interest in it because I love his work. He is a method actor and has given some of my favorite performances for example in Her (2013) and The Master (2012). I decided to see the movie in the theater after hearing a lot about the movie, good and bad and I am glad that I saw it.This movie is really good, it exceeded my expectations and Joaquin Phoenix should get an Oscar for his work. He is phenomenal and I was blown away by his performance. His performance alone carries the whole movie and lets you experience and understand the character without saying much. His physique, movements, gestures, grace, way of speaking suggests that he gave his everything to make the character compelling and stand out from other Joker portrayals. He lost 52 pounds for the role. He embodied the character of Joker. Comparing his performance with Heath Ledger will be absurd. There is no common ground for comparison. Both interpretations of Joker are significantly different, the story is different, character motivations are different.Now talking about the story, this is a standalone Joker movie that shows how a man beaten up, neglected and humiliated by the society turns into a maniac. This movie follows Arthur Fleck who works as a party clown and lives with his mother. He wants to be a stand-up comic. He suffers from a condition causing him to laugh uncontrollably. We feel his loneliness, depression, and condition and sympathize with him for it. All the other performances were also very good. This movie isn't that much violent as people are saying it to be, but it makes you feel the violence and it is unsettling. It also allows the viewer to form their perspective about the character. Sometimes you will agree with his actions and sometimes you won't. There are also certain funny scenes in the movie but not everyone may find it funny.The movie is directed by Todd Phillips and he has done an outstanding job. I didn't think that the guy who made The Hangover movies can pull this off, but he did it. He showed that as a filmmaker, he can make more than just R rated comedies. The film is set in 1981 and the period is very well reflected in the movie. The cinematography is top-notch. Shot composition, camera placement, camera movement has been handled well. I was surprised by how good the Gotham city looked, beautiful and dirty at the same time. Each scene had a color scheme. The lights in the surroundings like light from streetlights, cars or the sky illuminated everything with their light. Joker/Arthur Fleck's emotions get conveyed through shades of light falling on him which is beautiful to look at. Music is beautiful, chilling, hypnotizing and speak lengths about the inner feelings of the character.I have just a few issues with the plot of the movie and how some things happen which shouldn't have happened or couldn't have happened, rest the movie is flawless."
10/10,There are movies.. And there are masterpieces. This is one of them!,chiyaan,10/2/2019,"I really liked the way heath ledger portrayed joker in dark knight. Funny, cunning, evil. If he was living today, he would have aced this movie. But surprisingly, Joaquin does it even better. He is rarely funny but very alone and pathetic. His condition becomes worse and worse until he breaks out, wreaking havoc to Gotham. The story flows smoothly through Arthur's life, how the situation around influences him to become the joker. The supporting characters including Robert de Niro have done an excellent job but nobody can beat Joaquin. He was at a completely different level!! A pure masterclass of cinema. If you are a fan of joker, don't miss this one! Another Oscar worthy performance from Joaquin. If he gets it, it ll be second time for the same role."
10/10,How can someone dislike this movie!?,abdulmalekismailrostam,10/3/2019,You never seen anything like this Joaquin shines so bright that you would be amazed of how great he is in this movie everything about this movie is perfect i promise.
10/10,Must watch,cantrol_alnuim,10/9/2019,Must watch
